v8-version,6,1,534,50,0
code-creation,Handler,4,15135,0x3b7ad902ff60,780,"An IC handler from the snapshot"
code-creation,Handler,4,15146,0x3b7ad9030280,256,"An IC handler from the snapshot"
code-creation,Stub,3,15157,0x3b7ad9030380,2238,"RecordWriteStub"
code-creation,Stub,3,15178,0x3b7ad9030c40,2266,"RecordWriteStub"
code-creation,Handler,4,15189,0x3b7ad9031520,296,"An IC handler from the snapshot"
code-creation,Stub,3,15200,0x3b7ad9031660,1412,"RecordWriteStub"
code-creation,Stub,3,15211,0x3b7ad9031c00,2269,"RecordWriteStub"
code-creation,Stub,3,15222,0x3b7ad90324e0,2250,"RecordWriteStub"
code-creation,Stub,3,15234,0x3b7ad9032dc0,3405,"SubStringStub"
code-creation,Stub,3,15246,0x3b7ad9033b20,183,"DoubleToIStub"
code-creation,Stub,3,15257,0x3b7ad9033be0,387,"CreateWeakCellStub"
code-creation,Handler,4,15268,0x3b7ad9033d80,688,"An IC handler from the snapshot"
code-creation,Stub,3,15279,0x3b7ad9034040,1416,"RecordWriteStub"
code-creation,Stub,3,15290,0x3b7ad90345e0,2257,"RecordWriteStub"
code-creation,Stub,3,15301,0x3b7ad9034ec0,365,"CEntryStub"
code-creation,Stub,3,15312,0x3b7ad9035040,2238,"RecordWriteStub"
code-creation,Stub,3,15323,0x3b7ad9035900,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,15333,0x3b7ad9035ae0,2272,"RecordWriteStub"
code-creation,Stub,3,15345,0x3b7ad90363c0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,15356,0x3b7ad9036500,357,"MathPowStub"
code-creation,Handler,4,15367,0x3b7ad9036680,744,"An IC handler from the snapshot"
code-creation,Stub,3,15378,0x3b7ad9036980,427,"CallApiGetterStub"
code-creation,Stub,3,15388,0x3b7ad9036b40,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,15399,0x3b7ad9036c80,2276,"RecordWriteStub"
code-creation,Stub,3,15410,0x3b7ad9037580,2284,"RecordWriteStub"
code-creation,Stub,3,15420,0x3b7ad9037e80,2254,"RecordWriteStub"
code-creation,Stub,3,15443,0x3b7ad9038760,615,"StringAddStub"
code-creation,Stub,3,15483,0x3b7ad90389e0,375,"NumberToStringStub"
code-creation,Stub,3,15498,0x3b7ad9038b60,980,"RecordWriteStub"
code-creation,Stub,3,15511,0x3b7ad9038f40,2263,"RecordWriteStub"
